1112;Marina;Ruiz;mujer;artista;Vizcaya;688688689;marina.ruiz@forsoftware.es;3001.00
1113;Luis;Vuitton;hombre;modelador;Cantabria;688688690;luis.vuittonz@forsoftware.es;3002.00
1114;Tony;Cruz;hombre;sonido;Alicante;688688691;tony.cruz@forsoftware.es;3003.00
1115;Rosalia;Flores;mujer;gameDesigner;Valencia;688688692;rosalia.flores@forsoftware.es;3004.00
1116;Iker;Aira;hombre;video;Galicia;688688693;iker.aira@forsoftware.es;3005.00
1117;Julia;Alvarez;mujer;modelador;Malaga;688688694;julia.alvarez@forsoftware.es;3006.00
1118;Ibai;Gomez;hombre;programador;Asturias;688688695;ibai.gomez@forsoftware.es;3007.00
1119;Juan;Rodrigez;hombre;programador;Salamanca;688688696;juan.rodrigez@forsoftware.es;3008.00
4567;w;barbacoa;hombre;programador;c;123456788;w.barbacoa@forsoftware.es;45.25
1114;Tony;Cruz;hombre;gameDesigner;Alava;688688691;Tony.Cruz@forsoftware.es;3003.00
